Folder,Spectrogram1,Spectrogram2,Similarity
m8,m8_script1_ipad_livingroom1.wav.png,m8_script3_ipadflat_confroom1.wav.png,0.59494
m8,m8_script1_ipad_livingroom1.wav.png,m8_script1_ipad_balcony1.wav.png,0.620755
m8,m8_script1_ipad_confroom1.wav.png,m8_script4_ipad_confroom2.wav.png,0.529945
m8,m8_script1_ipad_confroom1.wav.png,m8_script4_iphone_balcony1.wav.png,0.46658
m8,m8_script1_ipad_confroom1.wav.png,m8_script2_ipad_confroom1.wav.png,0.5733375
m8,m8_script1_ipad_confroom1.wav.png,m8_script4_ipad_bedroom1.wav.png,0.573265
m8,m8_script1_ipad_confroom1.wav.png,m8_script2_ipad_office2.wav.png,0.58953
m8,m8_script1_ipad_confroom1.wav.png,m8_script3_ipad_office1.wav.png,0.5403724999999999
m8,m8_script1_ipad_confroom1.wav.png,m8_script4_ipad_balcony1.wav.png,0.4537
m8,m8_script1_ipad_confroom1.wav.png,m8_script5_ipad_confroom1.wav.png,0.575985
m8,m8_script1_ipad_confroom1.wav.png,m8_script4_ipadflat_office1.wav.png,0.48956
m8,m8_script1_ipad_confroom1.wav.png,m8_script4_iphone_bedroom1.wav.png,0.5764750000000001
m8,m8_script1_ipad_confroom1.wav.png,m8_script1_ipadflat_confroom1.wav.png,0.95597
m8,m8_script1_ipad_confroom1.wav.png,m8_script1_ipad_confroom2.wav.png,0.9146125
m8,m8_script1_ipad_confroom1.wav.png,m8_script2_ipad_balcony1.wav.png,0.38898
m8,m8_script1_ipad_confroom1.wav.png,m8_script1_iphone_livingroom1.wav.png,0.8738900000000001
m8,m8_script1_ipad_confroom1.wav.png,m8_script4_ipad_confroom1.wav.png,0.56525
m8,m8_script1_ipad_confroom1.wav.png,m8_script1_ipadflat_office1.wav.png,0.82719
m8,m8_script1_ipad_confroom1.wav.png,m8_script5_ipadflat_office1.wav.png,0.5134425
m8,m8_script1_ipad_confroom1.wav.png,m8_script2_ipad_bedroom1.wav.png,0.5805625
m8,m8_script1_ipad_confroom1.wav.png,m8_script3_ipad_confroom1.wav.png,0.6116075000000001
m8,m8_script1_ipad_confroom1.wav.png,m8_script5_ipad_confroom2.wav.png,0.527505
m8,m8_script1_ipad_confroom1.wav.png,m8_script4_ipad_livingroom1.wav.png,0.5718475000000001
m8,m8_script1_ipad_confroom1.wav.png,m8_script3_iphone_bedroom1.wav.png,0.5949575
m8,m8_script1_ipad_confroom1.wav.png,m8_script2_ipad_confroom2.wav.png,0.5268349999999999
m8,m8_script1_ipad_confroom1.wav.png,m8_script3_iphone_balcony1.wav.png,0.43321750000000003
m8,m8_script1_ipad_confroom1.wav.png,m8_script2_ipad_office1.wav.png,0.513065
m8,m8_script1_ipad_confroom1.wav.png,m8_script3_ipad_office2.wav.png,0.6237025
m8,m8_script1_ipad_confroom1.wav.png,m8_script3_iphone_livingroom1.wav.png,0.6030825
m8,m8_script1_ipad_confroom1.wav.png,m8_script1_ipad_office1.wav.png,0.85253
m8,m8_script1_ipad_confroom1.wav.png,m8_script3_ipadflat_office1.wav.png,0.5098
m8,m8_script1_ipad_confroom1.wav.png,m8_script5_iphone_bedroom1.wav.png,0.584605
m8,m8_script1_ipad_confroom1.wav.png,m8_script4_ipad_office1.wav.png,0.5008874999999999
m8,m8_script1_ipad_confroom1.wav.png,m8_script5_ipad_office2.wav.png,0.5928225
m8,m8_script1_ipad_confroom1.wav.png,m8_script2_ipadflat_confroom1.wav.png,0.5944475
m8,m8_script1_ipad_confroom1.wav.png,m8_script5_iphone_balcony1.wav.png,0.44176249999999995
m8,m8_script1_ipad_confroom1.wav.png,m8_script1_iphone_bedroom1.wav.png,0.85316
m8,m8_script1_ipad_confroom1.wav.png,m8_script5_ipad_balcony1.wav.png,0.39558000000000004
m8,m8_script1_ipad_confroom1.wav.png,m8_script5_ipadflat_confroom1.wav.png,0.605575
